ID_GENE,COSMIC_ID_GENE,GENE_SYMBOL,GENOME_VERSION,FULL_NAME,CHROMOSOME,CHROM_ARM,CHROM_BAND,HGNC_ID,OMIM_ID,ENTREZ_GENE_ID,ENSEMBL_GENE_ID,ENSEMBL_ID_VERSION,FROM_DB,ID_BIOTYPE,VERSION
484,,RP11-145P16.3,37,,15,q,11.2,,,,ENSG00000270523,1,Ensembl,3,93
485,,RP11-363L24.3,37,,8,p,12,,,,ENSG00000253961,1,Ensembl,29,93
486,,RP11-563N12.2,37,,8,p,21.3,,,,ENSG00000253164,1,Ensembl,45,93
487,,MAGEA10,37,MAGE family member A10,23,q,28,6797,300343,4109,ENSG00000124260,7,Ensembl,23,93
488,,FGF17,37,fibroblast growth factor 17,8,p,21.3,3673,603725,8822,ENSG00000158815,6,Ensembl,23,93
489,,RP11-106E7.1,37,,6,q,24.2,,,,ENSG00000219409,2,Ensembl,49,93
490,,RP11-864I4.4,37,,11,q,12.3,,,,ENSG00000257058,1,Ensembl,29,93
491,,CCSAP,37,"centriole, cilia and spindle associated protein",1,q,42.13,29578,,126731,ENSG00000154429,6,Ensembl,23,93
492,,AL117190.2,37,,14,q,32.2,,,,ENSG00000267918,1,Ensembl,23,93
493,,ETV5-AS1,37,ETV5 antisense RNA 1,3,q,27.2,40222,,,ENSG00000234197,1,Ensembl,29,93
494,,C6orf48,37,chromosome 6 open reading frame 48,6,p,21.33,19078,605447,50854,ENSG00000204387,8,Ensembl,23,93
495,,PRR18,37,proline rich 18,6,q,27,28574,,285800,ENSG00000176381,4,Ensembl,23,93
496,,CLCN2,37,chloride voltage-gated channel 2,3,q,27.1,2020,600570,1181,ENSG00000114859,10,Ensembl,23,93
497,,AC074129.1,37,,5,p,13.2,,,,ENSG00000238836,1,Ensembl,10,93
498,,RNA5SP253,37,"RNA, 5S ribosomal pseudogene 253",8,p,23.1,43153,,,ENSG00000252029,1,Ensembl,27,93
499,,CTD-2532D12.4,37,,17,q,25.1,,,,ENSG00000263574,1,Ensembl,45,93
500,,RP11-110J1.2,37,,1,q,23.1,,,,ENSG00000237842,2,Ensembl,49,93
